,precision,recall,f1-score,support
0,0.9830687830687831,0.9925213675213675,0.987772461456672,936.0
1,0.9613259668508287,0.9157894736842105,0.9380053908355795,190.0
accuracy,0.9795737122557726,0.9795737122557726,0.9795737122557726,0.9795737122557726
macro avg,0.9721973749598058,0.954155420602789,0.9628889261461258,1126.0
weighted avg,0.9793999242042971,0.9795737122557726,0.9793748207657239,1126.0
