,precision,recall,f1-score,support
0,0.8957915831663327,0.9551282051282052,0.9245087900723888,936.0
1,0.671875,0.45263157894736844,0.5408805031446541,190.0
accuracy,0.8703374777975134,0.8703374777975134,0.8703374777975134,0.8703374777975134
macro avg,0.7838332915831663,0.7038798920377868,0.7326946466085215,1126.0
weighted avg,0.8580081455094914,0.8703374777975134,0.8597757754042985,1126.0
