,precision,recall,f1-score,support
0,0.9493801652892562,0.9818376068376068,0.9653361344537815,936.0
1,0.8924050632911392,0.7421052631578947,0.8103448275862069,190.0
accuracy,0.9413854351687388,0.9413854351687388,0.9413854351687388,0.9413854351687388
macro avg,0.9208926142901976,0.8619714349977508,0.8878404810199942,1126.0
weighted avg,0.9397662493215454,0.9413854351687388,0.9391830720160913,1126.0
