,precision,recall,f1-score,support
0,0.9241025641025641,0.9626068376068376,0.9429618001046572,936.0
1,0.7682119205298014,0.6105263157894737,0.6803519061583577,190.0
accuracy,0.9031971580817052,0.9031971580817052,0.9031971580817052,0.9031971580817052
macro avg,0.8461572423161827,0.7865665766981557,0.8116568531315075,1126.0
weighted avg,0.897797748579629,0.9031971580817052,0.8986492957975551,1126.0
