,precision,recall,f1-score,support
0,0.9343065693430657,0.9572649572649573,0.9456464379947229,936.0
1,0.7604790419161677,0.6684210526315789,0.711484593837535,190.0
accuracy,0.9085257548845471,0.9085257548845471,0.9085257548845471,0.9085257548845471
macro avg,0.8473928056296167,0.8128430049482681,0.8285655159161289,1126.0
weighted avg,0.9049751037914576,0.9085257548845471,0.9061342262808103,1126.0
