,precision,recall,f1-score,support
0,0.9789473684210527,0.9935897435897436,0.9862142099681867,936.0
1,0.9659090909090909,0.8947368421052632,0.9289617486338798,190.0
accuracy,0.9769094138543517,0.9769094138543517,0.9769094138543517,0.9769094138543517
macro avg,0.9724282296650718,0.9441632928475034,0.9575879793010332,1126.0
weighted avg,0.9767473038320005,0.9769094138543517,0.9765534926915275,1126.0
