,precision,recall,f1-score,support
0,0.9799789251844047,0.9935897435897436,0.986737400530504,936.0
1,0.9661016949152542,0.9,0.9318801089918256,190.0
accuracy,0.977797513321492,0.977797513321492,0.977797513321492,0.977797513321492
macro avg,0.9730403100498295,0.9467948717948718,0.9593087547611647,1126.0
weighted avg,0.9776372966309956,0.977797513321492,0.9774808415674943,1126.0
