,precision,recall,f1-score,support
0,0.9668449197860962,0.9658119658119658,0.9663281667557456,936.0
1,0.8324607329842932,0.8368421052631579,0.8346456692913385,190.0
accuracy,0.9440497335701599,0.9440497335701599,0.9440497335701599,0.9440497335701599
macro avg,0.8996528263851947,0.9013270355375619,0.9004869180235421,1126.0
weighted avg,0.9441690800948506,0.9440497335701599,0.9441082071480749,1126.0
