,precision,recall,f1-score,support
0,0.9666666666666667,0.9604700854700855,0.9635584137191854,936.0
1,0.8112244897959183,0.8368421052631579,0.8238341968911918,190.0
accuracy,0.9396092362344582,0.9396092362344582,0.9396092362344582,0.9396092362344582
macro avg,0.8889455782312925,0.8986560953666217,0.8936963053051885,1126.0
weighted avg,0.9404375249211585,0.9396092362344582,0.9399815032419928,1126.0
