,precision,recall,f1-score,support
0,0.8993963782696177,0.9551282051282052,0.9264248704663213,936.0
1,0.6818181818181818,0.47368421052631576,0.5590062111801242,190.0
accuracy,0.8738898756660746,0.8738898756660746,0.8738898756660746,0.8738898756660746
macro avg,0.7906072800438997,0.7144062078272605,0.7427155408232227,1126.0
weighted avg,0.862682473006942,0.8738898756660746,0.8644270505157196,1126.0
