,precision,recall,f1-score,support
0,0.9503619441571872,0.9818376068376068,0.9658434051497635,936.0
1,0.8930817610062893,0.7473684210526316,0.8137535816618912,190.0
accuracy,0.9422735346358793,0.9422735346358793,0.9422735346358793,0.9422735346358793
macro avg,0.9217218525817383,0.8646030139451192,0.8897984934058274,1126.0
weighted avg,0.940696549131725,0.9422735346358793,0.940179935822325,1126.0
